 Area 7.Cogeneration Plant.GEN7003 Cogeneration Plant No 3 Co-Gen.Variables.HMI Indication - Actual Power  Raw Historic			
Time/Date	Value		
02/01/2020 06:04:15	1012.89		
02/01/2020 10:13:15	1009.17		
02/01/2020 10:13:45	1004.71		
02/01/2020 10:14:45	1008.80		
02/01/2020 10:15:15	1013.63		
02/01/2020 10:33:15	1011.03		
02/01/2020 10:33:45	1002.49		
02/01/2020 10:34:15	1011.03		
02/01/2020 10:38:45	1012.51		
02/01/2020 10:39:15	1002.49		
02/01/2020 10:39:45	1006.94		
02/01/2020 10:40:15	1010.29		
02/01/2020 10:59:15	1008.43		
02/01/2020 13:07:45	1017.34		
02/01/2020 13:08:15	1019.57		
02/01/2020 13:28:45	1015.49		
02/01/2020 13:29:15	1009.17		
02/01/2020 13:31:15	1007.31		
02/01/2020 13:31:45	1017.34		
02/01/2020 13:44:15	1012.89		
02/01/2020 13:44:45	1009.17		
02/01/2020 13:46:15	1015.49		
02/01/2020 13:46:45	1018.46		
02/01/2020 13:53:15	1014.00		
02/01/2020 13:53:45	1008.06		
02/01/2020 14:27:45	1014.00		
02/01/2020 14:28:15	1016.60		
02/01/2020 14:28:45	1013.63		
02/01/2020 14:29:15	1008.06		
02/01/2020 15:12:15	1013.63		
02/01/2020 15:12:45	1017.34		
02/01/2020 15:13:15	1007.31		
02/01/2020 15:16:15	1009.91		
02/01/2020 15:16:45	1015.49		
02/01/2020 15:17:15	1007.31		
02/01/2020 15:47:15	1014.74		
02/01/2020 15:47:45	1015.49		
02/01/2020 16:01:45	1014.37		
02/01/2020 16:02:15	1007.31		
02/01/2020 16:02:45	1013.63		
02/01/2020 16:03:15	1017.34		
02/01/2020 16:32:15	1018.09		
02/01/2020 16:32:45	1009.17		
02/01/2020 16:34:45	1014.00		
02/01/2020 16:35:15	1019.57		
02/01/2020 16:49:45	1013.63		
02/01/2020 16:50:15	1011.03		
02/01/2020 16:55:15	1017.34		
02/01/2020 16:55:45	1019.94		
02/01/2020 17:04:15	1013.63		
02/01/2020 17:04:45	1008.80		
02/01/2020 17:09:45	1013.63		
02/01/2020 17:10:15	1018.46		
02/01/2020 17:30:45	1013.63		
02/01/2020 17:31:15	1007.31		
02/01/2020 17:31:45	1014.37		
02/01/2020 17:32:15	1018.09		
02/01/2020 18:34:45	1013.63		
02/01/2020 18:35:15	1009.17		
02/01/2020 19:38:45	1009.17		
02/01/2020 19:39:15	1018.09		
02/01/2020 19:39:45	1012.89		
